,date,time,tweet,processed_tweet,sentiment,basic_keywords
48,2023-01-17,,"Muchas gracias, me ayudó lo suficiente, el cargo ya no procedió, se poaron muy bn aun cuando no me pude comunicar por teléfono, fueron muy amables, mil gracias por su interés se hizo cargo de todo",much graci ayud suficient carg procedi poaron bn aun pud comunic telefon amabl mil graci inter hiz carg,Neutral,"['much', 'graci', 'ayud', 'suficient', 'carg', 'procedi', 'poaron', 'bn', 'aun', 'pud', 'comunic', 'telefon', 'amabl', 'mil', 'graci', 'inter', 'hiz', 'carg']"
49,2023-01-17,,"Increíble, gracias HeyBanco!!@heybanco",increibl graci heybancoheybanc,Neutral,"['increibl', 'graci', 'heybancoheybanc']"
50,2023-01-17,,Me contestaron que sí.,contest si,Neutral,"['contest', 'si']"
51,2023-01-18,,Gracias,graci,Neutral,['graci']
52,2023-01-18,,Gracias!,graci,Neutral,['graci']
53,2023-01-18,,Graciaaas.,gracia,Neutral,['gracia']
54,2023-01-18,,"Gracias por estar al pendiente,estoy segura que se va a poner las pilas para que lleguen los incentivos, si no estaré pidiendo su apoyo.",graci pendienteestoy segur va pon pil lleg incent si estar pid apoy,Neutral,"['graci', 'pendienteestoy', 'segur', 'va', 'pon', 'pil', 'lleg', 'incent', 'si', 'estar', 'pid', 'apoy']"
55,2023-01-18,,"💰La sexta opción está opción es de las mejores, su pagaré a 7 días es el mejor del mercado con tasa del 10% anual solo que la inversión aquí es desde $5,000, tiene un plan de metas que te dan rendimiento a mes vencido del 4% y tú dinero disponible en cualquier momento",sext opcion opcion mejor pagar dias mejor merc tas anual sol inversion aqui plan met dan rendimient mes venc diner dispon cualqui moment,Neutral,"['sext', 'opcion', 'opcion', 'mejor', 'pagar', 'dias', 'mejor', 'merc', 'tas', 'anual', 'sol', 'inversion', 'aqui', 'plan', 'met', 'dan', 'rendimient', 'mes', 'venc', 'diner', 'dispon', 'cualqui', 'moment']"
56,2023-01-18,,🇬🇹 qué buena onda por vos David 👏👏 a disfrutarlo!!!,buen onda vos dav disfrut,Neutral,"['buen', 'onda', 'vos', 'dav', 'disfrut']"
57,2023-01-19,,¡Gracias,graci,Neutral,['graci']
58,2023-01-19,,"¡Hola!, me pueden apoyar por favor 😬",hol pued apoy favor,Positivo,"['hol', 'pued', 'apoy', 'favor']"
59,2023-01-19,,"Eso se agradece, el aviso 👏🏼👏🏼👏🏼👏🏼👏🏼",agradec avis,Neutral,"['agradec', 'avis']"
60,2023-01-19,,"Gracias, ya se ve reflejado. Solucionado. Gracias",graci ve reflej solucion graci,Neutral,"['graci', 've', 'reflej', 'solucion', 'graci']"
61,2023-01-20,,"Listo, gracias!",list graci,Neutral,"['list', 'graci']"
62,2023-01-20,,Muchas gracias!,much graci,Neutral,"['much', 'graci']"
63,2023-01-20,,Los tkm ♥️,tkm,Neutral,['tkm']
64,2023-01-20,,"Coesía de Anímense a sacar cuenta de Hey, muchas gracias por el regalo c:@nei_aokii",coesi animens sac cuent hey much graci regal cneiaokii,Neutral,"['coesi', 'animens', 'sac', 'cuent', 'hey', 'much', 'graci', 'regal', 'cneiaokii']"
65,2023-01-20,,Cof cof también ❤️❤️,cof cof tambi,Neutral,"['cof', 'cof', 'tambi']"
66,2023-01-20,,te lo súper recomiendo. Y no te cobran el plástico.,sup recom cobr plastic,Neutral,"['sup', 'recom', 'cobr', 'plastic']"
67,2023-01-20,,"Afounadamente, en México tenemos , que nos da el 10% de lo que tenemos en la cuenta! 👌🏼",afoun mexic da cuent,Neutral,"['afoun', 'mexic', 'da', 'cuent']"
68,2023-01-21,,"Muchas gracias por darme respuesta, ya se solucionó mi problema, excelente día!",much graci darm respuest solucion problem excelent dia,Negativo,"['much', 'graci', 'darm', 'respuest', 'solucion', 'problem', 'excelent', 'dia']"
69,2023-01-23,,Gracias !,graci,Neutral,['graci']
70,2023-01-23,,"Muchas gracias, el equipo de me ayudó a resolver el problema y me dieron la recompensa que gané.",much graci equip ayud resolv problem dieron recompens gan,Negativo,"['much', 'graci', 'equip', 'ayud', 'resolv', 'problem', 'dieron', 'recompens', 'gan']"
71,2023-01-23,,Gracias ! Este mes me tocó boletoDorado,graci mes toc boletodor,Neutral,"['graci', 'mes', 'toc', 'boletodor']"
72,2023-01-23,,Bello!,bell,Neutral,['bell']
73,2023-01-23,,Aún hay esperanza.. congrats !!,aun esper congrats,Positivo,"['aun', 'esper', 'congrats']"
74,2023-01-24,,Gracias 😊😊😊,graci,Neutral,['graci']
75,2023-01-24,,Gracias.,graci,Neutral,['graci']
76,2023-01-24,,Muchas gracias 👌👌,much graci,Neutral,"['much', 'graci']"
77,2023-01-24,,Gracias por mi premio de boletodorado ya canjee mi tarjeta de regalo,graci premi boletodor canje tarjet regal,Neutral,"['graci', 'premi', 'boletodor', 'canje', 'tarjet', 'regal']"
78,2023-01-24,,Tío gracias por mi boleto Dorado. Ya por fin me tocó algo.,tio graci bolet dor fin toc,Neutral,"['tio', 'graci', 'bolet', 'dor', 'fin', 'toc']"
79,2023-01-24,,No mames que buena suee!,mam buen sue,Neutral,"['mam', 'buen', 'sue']"
80,2023-01-24,,"segundo premio, espero lleguen más",segund premi esper lleg mas,Neutral,"['segund', 'premi', 'esper', 'lleg', 'mas']"
81,2023-01-25,,Gracias!!!,graci,Neutral,['graci']
82,2023-01-25,,Gracias ☺️,graci,Neutral,['graci']
83,2023-01-25,,"Hola, esto nos beneficia a los usuarios de",hol benefici usuari,Neutral,"['hol', 'benefici', 'usuari']"
84,2023-01-26,,Gracias por el apoyo con el seguimiento,graci apoy seguimient,Neutral,"['graci', 'apoy', 'seguimient']"
85,2023-01-26,,Gracias tio hey! Esto nos ayuda bastante.,graci tio hey ayud bastant,Neutral,"['graci', 'tio', 'hey', 'ayud', 'bastant']"
86,2023-01-26,,Muchas gracias Un mes gratis de,much graci mes gratis,Positivo,"['much', 'graci', 'mes', 'gratis']"
87,2023-01-27,,Muchísimas gracias ya me resolvió. Saludos!,muchisim graci resolvi salud,Neutral,"['muchisim', 'graci', 'resolvi', 'salud']"
88,2023-01-27,,Vale gracias 😃,val graci,Neutral,"['val', 'graci']"
89,2023-01-27,,Ya funcionó. Como que se cayo sólo por unos segundos. Estuvo raro. Muchas gracias,funcion cay sol segund rar much graci,Neutral,"['funcion', 'cay', 'sol', 'segund', 'rar', 'much', 'graci']"
90,2023-01-27,,Hola les escribí por DM porque tengo un par de dudas con la TDC.Gracias.,hol escribi dm par dud tdcgraci,Negativo,"['hol', 'escribi', 'dm', 'par', 'dud', 'tdcgraci']"
91,2023-01-27,,Gracias por ser pae de el FC Barcelona,graci ser pae fc barcelon,Neutral,"['graci', 'ser', 'pae', 'fc', 'barcelon']"
92,2023-01-27,,cuando me darán un crédito tradicional ya llevo más de un año con una tarjeta de credito en garantía y he cumplido con mis pagos en tiempo y forma,dar credit tradicional llev mas ano tarjet credit garanti cumpl pag tiemp form,Positivo,"['dar', 'credit', 'tradicional', 'llev', 'mas', 'ano', 'tarjet', 'credit', 'garanti', 'cumpl', 'pag', 'tiemp', 'form']"
93,2023-01-28,,Ok gracias,ok graci,Positivo,"['ok', 'graci']"
94,2023-01-28,,"Despues de estar 1 año probando la tarjeta de Crédito de puedo decir que es muy buena y ni hablar de la cuenta de débito, realmente en temas de seguridad en transacciones, MUY TOP. tqm Hey.",despu ano prob tarjet credit pued dec buen habl cuent debit realment tem segur transaccion top tqm hey,Positivo,"['despu', 'ano', 'prob', 'tarjet', 'credit', 'pued', 'dec', 'buen', 'habl', 'cuent', 'debit', 'realment', 'tem', 'segur', 'transaccion', 'top', 'tqm', 'hey']"
95,2023-01-28,,"Amistad, usa si usas tu tarjeta 6 veces al mes en compras de $100 pesos te vuelves “HeyPro” y tu inversión te da un rendimiento de 10% anual que está súper súper bien con comparación a otros bancos o inveir a 25 años con Allianz a mi me explicó mi prima y suena rebien",amist usa si usas tarjet vec mes compr pes vuelv heypr inversion da rendimient anual sup sup bien compar banc inve anos allianz explic prim suen rebi,Neutral,"['amist', 'usa', 'si', 'usas', 'tarjet', 'vec', 'mes', 'compr', 'pes', 'vuelv', 'heypr', 'inversion', 'da', 'rendimient', 'anual', 'sup', 'sup', 'bien', 'compar', 'banc', 'inve', 'anos', 'allianz', 'explic', 'prim', 'suen', 'rebi']"
96,2023-01-28,,Excelente,excelent,Neutral,['excelent']
97,2023-01-29,,Me gane 2 premios,gan premi,Neutral,"['gan', 'premi']"
98,2023-01-29,,Amiga explícame!!!,amig explicam,Neutral,"['amig', 'explicam']"
99,2023-01-30,,Muchas gracias por la información!,much graci inform,Neutral,"['much', 'graci', 'inform']"
100,2023-01-30,,ThankU!,thanku,Neutral,['thanku']
101,2023-01-30,,"Vientos, gracias",vient graci,Neutral,"['vient', 'graci']"
102,2023-01-30,,me encantaria presumir mi premio de boleto dorado... Si tan solo existiera...,encantari presum premi bolet dor si tan sol exist,Neutral,"['encantari', 'presum', 'premi', 'bolet', 'dor', 'si', 'tan', 'sol', 'exist']"
103,2023-01-31,,me pueden proporcionar el link para invitar a más gente y tener mi beneficio.Gracias,pued proporcion link invit mas gent ten beneficiograci,Neutral,"['pued', 'proporcion', 'link', 'invit', 'mas', 'gent', 'ten', 'beneficiograci']"
104,2023-02-01,,Gracias 👏🏼,graci,Neutral,['graci']
105,2023-02-01,,"Gracias, lo checo",graci chec,Neutral,"['graci', 'chec']"
106,2023-02-01,,¿Ya no habrá Viaje Financiero del 2022?😣 estaba muy buena esa información,habr viaj financier buen inform,Neutral,"['habr', 'viaj', 'financier', 'buen', 'inform']"
107,2023-02-01,,Gracias por el dato y cómo fue soeo 👀?,graci dat soe,Neutral,"['graci', 'dat', 'soe']"
108,2023-02-01,,"Buen día, como me.pueden ayudar ya que me realizaron un deposito a mi cuenta de credito pero lo necesito a la de crédito",buen dia mepued ayud realiz deposit cuent credit necesit credit,Positivo,"['buen', 'dia', 'mepued', 'ayud', 'realiz', 'deposit', 'cuent', 'credit', 'necesit', 'credit']"
109,2023-02-02,,Muchas gracias,much graci,Neutral,"['much', 'graci']"
110,2023-02-02,,Gracias ya se solucionó. Buenas tardes,graci solucion buen tard,Negativo,"['graci', 'solucion', 'buen', 'tard']"
111,2023-02-02,,Lo realizaré.Gracias.,realizaregraci,Neutral,['realizaregraci']
112,2023-02-02,,En Diciembre me gane una tarjeta de regalo en Amazon con el ticket dorado de HeyBanco y me compre esto:*se emociona en señora*,diciembr gan tarjet regal amazon ticket dor heybanc compr estos emocion senor,Positivo,"['diciembr', 'gan', 'tarjet', 'regal', 'amazon', 'ticket', 'dor', 'heybanc', 'compr', 'estos', 'emocion', 'senor']"
113,2023-02-03,,Me funcionó mil gracias,funcion mil graci,Neutral,"['funcion', 'mil', 'graci']"
114,2023-02-03,,Gracias pero no es necesario. es una buena opción. Hasta el momento no he tenido problemas graves con ellos solo es adaptarme a sus procesos. Pero aún así creo que van por buen camino. Aunque en ocasiones me hagan enojar,graci necesari buen opcion moment problem grav sol adapt proces aun asi cre van buen camin aunqu ocasion hag enoj,Negativo,"['graci', 'necesari', 'buen', 'opcion', 'moment', 'problem', 'grav', 'sol', 'adapt', 'proces', 'aun', 'asi', 'cre', 'van', 'buen', 'camin', 'aunqu', 'ocasion', 'hag', 'enoj']"
115,2023-02-04,,Mmm. te da el rendimiento del 10% Es buena opción.,mmm da rendimient buen opcion,Neutral,"['mmm', 'da', 'rendimient', 'buen', 'opcion']"
116,2023-02-04,,Gracias por mi aumento de crédito en mi tarjeta 💳!! Muy contenta con sus servicios! ♥️,graci aument credit tarjet content servici,Positivo,"['graci', 'aument', 'credit', 'tarjet', 'content', 'servici']"
117,2023-02-05,,Hablando de Ajolotes el banco sacara esta tarjeta y me encanto.. 👌🏼😊,habl ajolot banc sac tarjet encant,Neutral,"['habl', 'ajolot', 'banc', 'sac', 'tarjet', 'encant']"
118,2023-02-07,,"sería la mejor TDC si se pudiera realizar pagos por adelantado en los meses sin intereses como en otras cuentas, siendo una opción excelente para muchos usuarios",seri mejor tdc si pud realiz pag adelant mes interes cuent siend opcion excelent usuari,Neutral,"['seri', 'mejor', 'tdc', 'si', 'pud', 'realiz', 'pag', 'adelant', 'mes', 'interes', 'cuent', 'siend', 'opcion', 'excelent', 'usuari']"
119,2023-02-08,,"Casi me rindo cuando no obtuve ayuda del equipo de sopoe, afounadamente alguien aquí me refirió a en twitter Envíale un mensaje privado y me lo arregló, todo gracias a él, contáctalo ahora.",casi rind obtuv ayud equip sopo afoun algui aqui refiri twitt envial mensaj priv arregl graci contactal ahor,Neutral,"['casi', 'rind', 'obtuv', 'ayud', 'equip', 'sopo', 'afoun', 'algui', 'aqui', 'refiri', 'twitt', 'envial', 'mensaj', 'priv', 'arregl', 'graci', 'contactal', 'ahor']"
120,2023-02-08,,Gracias por ser el mejor banco ✨,graci ser mejor banc,Neutral,"['graci', 'ser', 'mejor', 'banc']"
121,2023-02-10,,"HeyBanco tiene pagarés semanales con 10% anual. O sea, a la semana ya obtienes rendimientos y eso lo puedes reinveir en el siguiente pagaré (de forma automática). Como generas interés compuesto muy rápido, es muchísimo mejor que el 11% anual de CETES.",heybanc pagar semanal anual seman obtien rendimient pued reinv siguient pagar form automat gener inter compuest rap muchisim mejor anual cet,Neutral,"['heybanc', 'pagar', 'semanal', 'anual', 'seman', 'obtien', 'rendimient', 'pued', 'reinv', 'siguient', 'pagar', 'form', 'automat', 'gener', 'inter', 'compuest', 'rap', 'muchisim', 'mejor', 'anual', 'cet']"
122,2023-02-11,,gracias,graci,Neutral,['graci']
123,2023-02-11,,Solucionado. Gracias.,solucion graci,Neutral,"['solucion', 'graci']"
124,2023-02-11,,"Alch, hechate unas investigadas de CETES, GMB y Hey+. CETES si ocupas investigar chido pero es muy seguro y Hey+ con HeyBanco es dinero seguro y rapido pero poco.",alch hechat unas investig cet gmb hey cet si ocup investig chid segur hey heybanc diner segur rap,Neutral,"['alch', 'hechat', 'unas', 'investig', 'cet', 'gmb', 'hey', 'cet', 'si', 'ocup', 'investig', 'chid', 'segur', 'hey', 'heybanc', 'diner', 'segur', 'rap']"
125,2023-02-11,,Excelente servicio de atención a clientes en HeyBanco 10/10,excelent servici atencion client heybanc,Neutral,"['excelent', 'servici', 'atencion', 'client', 'heybanc']"
126,2023-02-11,,Por primera vez gané algo en el boleto dorado de mi d'Or los quiero mucho 🥰🖤,primer vez gan bolet dor dor quier,Neutral,"['primer', 'vez', 'gan', 'bolet', 'dor', 'dor', 'quier']"
127,2023-02-13,,Ok muchas gracias 😊,ok much graci,Positivo,"['ok', 'much', 'graci']"
128,2023-02-13,,Gracias. Porque tengo una duda,graci dud,Negativo,"['graci', 'dud']"
129,2023-02-13,,¡Gracias a ti por formar pae de esta gran familia!,graci form pae gran famili,Neutral,"['graci', 'form', 'pae', 'gran', 'famili']"
130,2023-02-13,,"Después de lo de hoy, la vida y mi banco favorito dijeron: ten un tarjeta de regalo para que te eches un Starbucks y te relajes un rato.",despu hoy vid banc favorit dijeron ten tarjet regal eches starbucks relaj rat,Neutral,"['despu', 'hoy', 'vid', 'banc', 'favorit', 'dijeron', 'ten', 'tarjet', 'regal', 'eches', 'starbucks', 'relaj', 'rat']"
131,2023-02-14,,100 % recomendado la vdd,recomend vdd,Neutral,"['recomend', 'vdd']"
132,2023-02-14,,Para ver si eres fit y viable para seguros de vida! XD,ver si fit viabl segur vid xd,Positivo,"['ver', 'si', 'fit', 'viabl', 'segur', 'vid', 'xd']"
133,2023-02-14,,"Que interesante lo que encontré en los permisos que utiliza la aplicación de ⁦@heybanco⁩, estaba activada, como para que lo necesitan?",interes encontr permis utiliz aplic heybanc activ necesit,Neutral,"['interes', 'encontr', 'permis', 'utiliz', 'aplic', 'heybanc', 'activ', 'necesit']"
134,2023-02-15,,😒 Gracias 😊,graci,Neutral,['graci']
135,2023-02-15,,Hola intenta en el teléfono o correo de la imagen. (Con la app la verdad yo no he tenido problemas),hol intent telefon corre imag app verd problem,Negativo,"['hol', 'intent', 'telefon', 'corre', 'imag', 'app', 'verd', 'problem']"
136,2023-02-15,,hola ocupo ayuda con el cambio de número de celular y con mi token,hol ocup ayud cambi numer celul tok,Neutral,"['hol', 'ocup', 'ayud', 'cambi', 'numer', 'celul', 'tok']"
137,2023-02-16,,"Yo la eh pensado cambiar mi nomina con ellos, la tengo con y muy agusto.Que bueno que me dicen para no sacar tarjeta ahí",eh pens cambi nomin agustoqu buen dic sac tarjet ahi,Neutral,"['eh', 'pens', 'cambi', 'nomin', 'agustoqu', 'buen', 'dic', 'sac', 'tarjet', 'ahi']"
138,2023-02-16,,"gracias!!!! ahora, vi algo en relacion a transferencias internacionales... donde veo información?",graci ahor vi relacion transferent internacional veo inform,Neutral,"['graci', 'ahor', 'vi', 'relacion', 'transferent', 'internacional', 'veo', 'inform']"
139,2023-02-16,,"Pues más vale, la verdad",pues mas val verd,Neutral,"['pues', 'mas', 'val', 'verd']"
140,2023-02-16,,Ya está todo listo..,list,Neutral,['list']
141,2023-02-17,,Me acaba de llegar la constancia fiscal de y el año pasado gané $2400 nomas de tener mi dinero guardado con ellos. 10/10,acab lleg constanci fiscal ano pas gan nom ten diner guard,Neutral,"['acab', 'lleg', 'constanci', 'fiscal', 'ano', 'pas', 'gan', 'nom', 'ten', 'diner', 'guard']"
142,2023-02-17,,Jamás al menos la amex la primera anualidad es gratis y te da beneficios por compras el primer año y bonos.,jam men amex primer anual gratis da benefici compr prim ano bon,Positivo,"['jam', 'men', 'amex', 'primer', 'anual', 'gratis', 'da', 'benefici', 'compr', 'prim', 'ano', 'bon']"
143,2023-02-17,,"Gracias por la respuesta, estaré al pendiente",graci respuest estar pendient,Neutral,"['graci', 'respuest', 'estar', 'pendient']"
144,2023-02-18,,Hola buenas tardes,hol buen tard,Negativo,"['hol', 'buen', 'tard']"
145,2023-02-18,,"Buen día, muchas gracias! Ya respondí al DM. Me tardé porque pensé que no respondían en la noche hehe",buen dia much graci respondi dm tard pens respondi noch heh,Negativo,"['buen', 'dia', 'much', 'graci', 'respondi', 'dm', 'tard', 'pens', 'respondi', 'noch', 'heh']"
146,2023-02-20,,Gracias,graci,Neutral,['graci']
147,2023-02-20,,Tqm gracias por poner retiros en cajeros hsbc es el q tengo más cerquita,tqm graci pon retir cajer hsbc q mas cerquit,Neutral,"['tqm', 'graci', 'pon', 'retir', 'cajer', 'hsbc', 'q', 'mas', 'cerquit']"
148,2023-02-21,,Hola!!!,hol,Neutral,['hol']
149,2023-02-23,,Saludos a,salud,Neutral,['salud']
150,2023-02-23,,"real esa tarjeta es la neta, en general el banco es 10/10",real tarjet net general banc,Neutral,"['real', 'tarjet', 'net', 'general', 'banc']"
151,2023-02-23,,":o si tengo cuenta pero nunca pedí la física, la pediré. Gracias por la recomendación 🥰🤘🏻",si cuent nunc pedi fisic pedir graci recomend,Neutral,"['si', 'cuent', 'nunc', 'pedi', 'fisic', 'pedir', 'graci', 'recomend']"
152,2023-02-23,,como puedo inveir con ustedes y como se genera las ganancias para uno,pued inve usted gener gananci,Neutral,"['pued', 'inve', 'usted', 'gener', 'gananci']"
153,2023-02-24,,Que bueno que perdí mi tarjeta porque necesitaba una nueva con este diseño.,buen perdi tarjet necesit nuev disen,Neutral,"['buen', 'perdi', 'tarjet', 'necesit', 'nuev', 'disen']"
